result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       75, 4926610 req, miss ratio 0.7461, byte miss ratio 0.7461
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      227, 4926610 req, miss ratio 0.6324, byte miss ratio 0.6324
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      759, 4926610 req, miss ratio 0.5281, byte miss ratio 0.5281
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2277, 4926610 req, miss ratio 0.4299, byte miss ratio 0.4299
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7590, 4926610 req, miss ratio 0.3624, byte miss ratio 0.3624
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15180, 4926610 req, miss ratio 0.2906, byte miss ratio 0.2906
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    30360, 4926610 req, miss ratio 0.0938, byte miss ratio 0.0938
result/w82.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    60721, 4926610 req, miss ratio 0.0166, byte miss ratio 0.0166
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       75, 4926610 req, miss ratio 0.7443, byte miss ratio 0.7443
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      227, 4926610 req, miss ratio 0.6313, byte miss ratio 0.6313
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      759, 4926610 req, miss ratio 0.5251, byte miss ratio 0.5251
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2277, 4926610 req, miss ratio 0.4290, byte miss ratio 0.4290
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7590, 4926610 req, miss ratio 0.3626, byte miss ratio 0.3626
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15180, 4926610 req, miss ratio 0.2702, byte miss ratio 0.2702
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    30360, 4926610 req, miss ratio 0.1011, byte miss ratio 0.1011
result/w82.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    60721, 4926610 req, miss ratio 0.0166, byte miss ratio 0.0166
result/w82.oracleGeneral.bin                              LRU cache size       75, 4926610 req, miss ratio 0.8273, byte miss ratio 0.8273
result/w82.oracleGeneral.bin                              LRU cache size      227, 4926610 req, miss ratio 0.7211, byte miss ratio 0.7211
result/w82.oracleGeneral.bin                              LRU cache size      759, 4926610 req, miss ratio 0.5757, byte miss ratio 0.5757
